instance,seed,cutoff,size,ref,rel_err,valid,wall_time
large3,50,60,2203,2203,0.0000,1,60.0197
large4,1,60,3926,3926,0.0000,1,60.0245
large4,2,60,3926,3926,0.0000,1,60.0047
large4,3,60,3926,3926,0.0000,1,60.0329
large4,4,60,3926,3926,0.0000,1,60.0066
large4,5,60,3926,3926,0.0000,1,60.0102
large4,6,60,3926,3926,0.0000,1,60.0271
large4,7,60,3926,3926,0.0000,1,60.2054
large4,8,60,3926,3926,0.0000,1,60.0125
large4,9,60,3926,3926,0.0000,1,60.0171
large4,10,60,3926,3926,0.0000,1,60.0412
large4,11,60,3926,3926,0.0000,1,60.0020
large4,12,60,3926,3926,0.0000,1,60.0290
large4,13,60,3926,3926,0.0000,1,60.0121
large4,14,60,3926,3926,0.0000,1,60.0028
large4,15,60,3926,3926,0.0000,1,60.0752
large4,16,60,3926,3926,0.0000,1,60.0187
large4,17,60,3926,3926,0.0000,1,60.0139
large4,18,60,3926,3926,0.0000,1,60.0875
large4,19,60,3926,3926,0.0000,1,60.0073
large4,20,60,3926,3926,0.0000,1,60.0156
large4,21,60,3926,3926,0.0000,1,60.0194
large4,22,60,3926,3926,0.0000,1,60.0362
large4,23,60,3926,3926,0.0000,1,60.0336
large4,24,60,3926,3926,0.0000,1,60.0043
large4,25,60,3926,3926,0.0000,1,60.0019
large4,26,60,3926,3926,0.0000,1,60.0102
large4,27,60,3926,3926,0.0000,1,60.0165
large4,28,60,3926,3926,0.0000,1,60.0143
large4,29,60,3926,3926,0.0000,1,60.0118
large4,30,60,3926,3926,0.0000,1,60.0151
large4,31,60,3926,3926,0.0000,1,60.0256
large4,32,60,3926,3926,0.0000,1,60.0185
large4,33,60,3926,3926,0.0000,1,60.0203
large4,34,60,3926,3926,0.0000,1,60.0040
large4,35,60,3926,3926,0.0000,1,60.0155
large4,36,60,3926,3926,0.0000,1,60.0187
large4,37,60,3926,3926,0.0000,1,60.0079
large4,38,60,3926,3926,0.0000,1,60.0249
large4,39,60,3926,3926,0.0000,1,60.0475
large4,40,60,3926,3926,0.0000,1,60.0369
large4,41,60,3926,3926,0.0000,1,60.0329
large4,42,60,3926,3926,0.0000,1,60.0068
large4,43,60,3926,3926,0.0000,1,60.0171
large4,44,60,3926,3926,0.0000,1,60.0200
large4,45,60,3926,3926,0.0000,1,60.0252
large4,46,60,3926,3926,0.0000,1,60.0511
large4,47,60,3926,3926,0.0000,1,60.0080
large4,48,60,3926,3926,0.0000,1,60.0413
large4,49,60,3926,3926,0.0000,1,60.0476
large4,50,60,3926,3926,0.0000,1,60.0169
large5,1,60,1000,1000,0.0000,1,60.1383
large5,2,60,1000,1000,0.0000,1,60.9504
large5,3,60,1000,1000,0.0000,1,60.5503
large5,4,60,1000,1000,0.0000,1,60.2358
large5,5,60,1000,1000,0.0000,1,60.4349
large5,6,60,1000,1000,0.0000,1,60.3634
large5,7,60,1000,1000,0.0000,1,60.1382
large5,8,60,1000,1000,0.0000,1,60.9337
large5,9,60,1000,1000,0.0000,1,61.0163
large5,10,60,1000,1000,0.0000,1,61.6096
large5,11,60,1000,1000,0.0000,1,60.3876
large5,12,60,1000,1000,0.0000,1,62.9648
large5,13,60,1000,1000,0.0000,1,63.0982
large5,14,60,1000,1000,0.0000,1,61.0316
large5,15,60,1000,1000,0.0000,1,60.3524
large5,16,60,1000,1000,0.0000,1,62.0330
large5,17,60,1000,1000,0.0000,1,60.3047
large5,18,60,1000,1000,0.0000,1,61.3541
large5,19,60,1000,1000,0.0000,1,61.2034
large5,20,60,1000,1000,0.0000,1,61.1291
large5,21,60,1000,1000,0.0000,1,60.5907
large5,22,60,1000,1000,0.0000,1,60.8649
large5,23,60,1000,1000,0.0000,1,60.5427
large5,24,60,1000,1000,0.0000,1,61.7993
large5,25,60,1000,1000,0.0000,1,64.1532
large5,26,60,1000,1000,0.0000,1,61.3108
large5,27,60,1000,1000,0.0000,1,60.6930
large5,28,60,1000,1000,0.0000,1,62.2025
large5,29,60,1000,1000,0.0000,1,62.4583
large5,30,60,1000,1000,0.0000,1,60.5764
large5,31,60,1000,1000,0.0000,1,61.8107
large5,32,60,1000,1000,0.0000,1,62.3123
large5,33,60,1000,1000,0.0000,1,61.0507
large5,34,60,1000,1000,0.0000,1,60.4492
large5,35,60,1000,1000,0.0000,1,63.6823
large5,36,60,1000,1000,0.0000,1,60.7403
large5,37,60,1000,1000,0.0000,1,61.2205
large5,38,60,1000,1000,0.0000,1,60.8728
large5,39,60,1000,1000,0.0000,1,61.0006
large5,40,60,1000,1000,0.0000,1,61.9477
large5,41,60,1000,1000,0.0000,1,60.8932
large5,42,60,1000,1000,0.0000,1,61.2541
large5,43,60,1000,1000,0.0000,1,60.1468
large5,44,60,1000,1000,0.0000,1,60.3463
large5,45,60,1000,1000,0.0000,1,60.5304
large5,46,60,1000,1000,0.0000,1,61.0622
large5,47,60,1000,1000,0.0000,1,61.0520
large5,48,60,1000,1000,0.0000,1,60.3468
large5,49,60,1000,1000,0.0000,1,60.4965
large5,50,60,1000,1000,0.0000,1,65.2683
large6,1,60,980,980,0.0000,1,60.6083
large6,2,60,980,980,0.0000,1,60.4472
large6,3,60,980,980,0.0000,1,60.7948
large6,4,60,980,980,0.0000,1,60.5057
large6,5,60,980,980,0.0000,1,60.2527
large6,6,60,980,980,0.0000,1,60.6653
large6,7,60,980,980,0.0000,1,60.5717
large6,8,60,980,980,0.0000,1,60.0963
large6,9,60,980,980,0.0000,1,60.5554
large6,10,60,980,980,0.0000,1,60.1790
large6,11,60,980,980,0.0000,1,60.7731
large6,12,60,980,980,0.0000,1,60.8062
large6,13,60,980,980,0.0000,1,60.1438
